Linha,Entidade,Toque,Ponto
Pomba Gira,Maria Mulambo,Samba,"Mulambo rainha das Flores, ó deusa encantada 
Seu congá tem segurança, ó deusa encantada
Ela pisou em tapete de flores, rosa, perfume e botão
Ela deixou os seus súditos chorando, para viver no mundo da ilusão
Ela é Maria ela é mulher, ela é Maria ela é mulher pedacinho de mulambo para quem tem fé"
Pomba Gira,Maria Mulambo,Samba,"Lá vem ela, oh, caminhando pela rua
Lá vem a Maria Mulambo, com Tiriri, Marabô e Tranca Rua
Oh, que noite tão bonita como brilha o luar
Abram alas, minha gente que a Mulambo vai chegar
Canta um ponto bem bonito que a Mulambo vai dançar
O trabalho desta moça faz a Umbanda admirar
Lá vem ela, lá vem ela, oh
Caminhando pela rua lá vem a Maria Mulambo
Com Tiriri, Marabô e Tranca Rua
Lá vem ela!  lua brilhava, Tiriri bebia
Tranca Rua cantava, Marabô sorria
São todos Exu de fama, são todos Exu de fé 
Saravá Maria Mulambo e todo Exu que aqui vier!
Lá vem ela!"
Pomba Gira,Maria Mulambo,Barravento,"Quem não lhe conhece, vai lhe conhecer
Ela é Maria Mulambo, com muito prazer! 
Ela nasceu do lixo, na boca da lixeira
Ela é Maria Mulambo e não é de brincadeira (2x)
É maloqueira, é da lixeira, ela é da pá virada
Ela é Maria Mulambo e não me deve nada "
Pomba Gira,Maria Mulambo,Congo,"Ê mulambê, mulambá, Maria Mulambo dá sua risada (2x)
Deu meia noite na encruzilhada, maria Mulambo dá sua risada (2x)"
Pomba Gira,Tata Mulambo,Samba,"Tata Mulambo ela mereceu ganhar, ganhar o que ganhou (2x)
Foram 7 rosas na calunga, 7 marafos e uma saia de cetim
E como se tudo isso não bastasse, ela ganhou uma coroa de Atotô
Atoto meu pai , atotô meu senhor, Tata Mulambo mereceu o que ganhou (2x)"
Pomba Gira,Pomba Gira,Samba,"Gira ô abre a roda, deixa a pomba gira passar (2x)
Ela tem, ela tem peito de aço, ela tem peito de aço e coração de sabiá (2x)"
Pomba Gira,Pomba Gira,Congo,"Você me deu uma fita vermelha, nessa fita eu dei um nó  (2x)
Com essa fita ganhei carinho, ganhei amor e ganhei um xodó  (2x)"
Pomba Gira,Pomba Gira,Samba,"Sete facas encruzadas em cima daquela mesa
Eu vou chamar a pomba gira pra pegar sua cabeça 
Ela é Maria Mariá, ela é Maria Mariá
Ela é Maria Mariá, ela é maria Mariá*"
Pomba Gira,Figueira,Samba,"Foi em uma estrada velha na subida de uma serra, numa noite de luar, de luar, de luar
Pombo gira da Figueira, moça bela e faceira, dava o seu gargalhar"
Pomba Gira,Rainha do Cabaré,Samba,"Arreda homem que aí vem mulher  (2x)
Ela é Pomba Gira Rainha do candomblé
Tranca Rua vem na frente pra mostrar quem ela é"
Pomba Gira,Pomba Gira,Samba,"Foi uma rosa que eu plantei na encruzilhada a outra rosa eu plantei no meu jardim  (2x)
Maria Mulambo, Maria mulher, Maria Padilha Rainha de quem tem fé  (2x)"
Pomba Gira,Rosa Vermelha,Samba,"Rosa Vermelha, cigarrilha de prata
Rosa Vermelha, ela é a Pomba Gira da Estrada
Rosa Vermelha, cigarrilha de prata
Ela é a Pomba Gira da estrada
Rosa Vermelha é Pomba Gira
Rosa Vermelha é Maria padilha
Rosa Vermelha, rainha de Lúcifer"
Pomba Gira,Sete Saias,Samba,"Foi no dia que eu chorei
E chorava por amor

Quando em meu ombro alguem tocou
E as minhas lagrimas do rosto enxugou

Era uma linda mulher
De um perfume tão bom
Com sua doce voz falou
Não chore mais a 7 saias chegou
Foi ela que me consolou
Quando falou que a 7 saias chegou"
Pomba Gira,Sete Rosas Vermelhas,Congo,"Mas ela é doce como o mel, não existe melhor veneno  (2x)
Com uma rosa no cabelo, perigosa feito abelha  (2x)
É Sete Rosas Vermelhas mas ela é doce como o mel  (2x)
Não existe melhor veneno, com uma rosa no cabelo  (2x)
Perigosa feito abelha, é Sete Rosas Vermelhas  (2x)"
Pomba Gira,Rosa Vermelha,Samba,"Rosa Vermelha, cigarrilha de prata, ela é a pomba gira da estrada
Rosa Vermelha é pomba gira, Rosa Vermelha,  Maria Padilha
Rosa Vermelha, rainha de Lúcifer"
